dam_id,kge,kge_r,kge_alpha,kge_beta,rmse_check,n,lake,continent,rmse_val,nse_val,obs_std,rmse_diff
10487,0.9235192732993454,0.9245245303788433,0.9901103913184305,0.9925871272605351,0.8466537097511048,861,,Asia,0.847,0.842,2.13,0.0003462902488952091
22428,0.6426461775562726,0.7397263629763184,0.7551342570192858,0.9996047784029884,0.8812826117738368,590,Guarico,South America,0.881,0.547,1.31,0.0002826117738368161
22499,0.932261749028301,0.9639914607437612,0.9471758092292697,0.9776066837035181,0.8930010510333939,1675,,Africa,0.893,0.896,2.77,1.0510333938729133e-06
1027,0.9492926492494561,0.9571901808560226,0.972932807318408,0.997566507584518,0.9192579117790112,1259,Barra Bonita,South America,0.919,0.916,3.17,0.00025791177901113294
22897,0.7046488902382646,0.7861387989223724,0.7962985296218036,0.9988271074712488,0.9404836813426394,1259,Junin,South America,0.94,0.618,1.52,0.0004836813426394304
23686,0.898095826557321,0.9345370059048954,0.9219915636408301,0.996293137993228,0.977312233106194,772,Ubol Ratana,Asia,0.977,0.872,2.73,0.00031223310619399314
8979,0.9461002445476092,0.9512116545685437,0.9775604667504946,1.0046204258930074,0.9777049044639714,1426,Hirakud Reservoir,Asia,0.978,0.903,3.13,0.00029509553602857785
8416,0.9520703298071123,0.966783715630558,0.967576838673068,0.9880555306917767,0.9961786749248174,1434,Rana Pratap,Asia,0.996,0.929,3.73,0.00017867492481737912
23595,0.9006820096193017,0.9085570553235686,0.9614457989811388,0.9960219771291722,1.0144153500708528,1494,Jayakwadi,Asia,1.014,0.821,2.4,0.0004153500708528046
9341,0.785701470427401,0.8529521641452297,0.8443993440735023,0.9905538567314335,1.0708971123359379,1164,Tungabhadra,Asia,1.071,0.712,2.0,0.00010288766406207905
16064,0.9721201306641445,0.9876604540455942,0.9759271291495358,0.9932531778710004,1.1224865002241184,1410,Sam Rayburn Reservoir,North America,1.122,0.975,7.09,0.0004865002241183358
14090,0.9600659299669418,0.9898680047444742,0.9693970500737816,0.9764302720134371,1.1253211285888727,2149,Hirfanli,Asia,1.125,0.977,7.37,0.0003211285888726767
22634,0.970017382312564,0.9709340382894284,0.999606177858429,0.9926534268293753,1.1264031107869488,1824,Alvaro Obregon,North America,1.126,0.94,4.61,0.00040311078694887925
23544,0.9244451036471032,0.9634290150883762,0.933886997084502,1.0004198463839418,1.1267220535414508,1241,Matatila,Asia,1.127,0.927,4.18,0.000277946458549172
23421,0.9365236331015677,0.9858853605292515,0.938119429227824,1.000906128106224,1.1294879583611124,2186,Buhayrat ath Tharthar,Asia,1.129,0.97,6.49,0.0004879583611123728
488,0.9128044237142526,0.9781972639471396,0.9156686430678428,1.0039914236049288,1.1412366769567723,1736,Great Lake,Oceania,1.141,0.953,5.26,0.00023667695677231926
22928,0.9774255413312484,0.9900579208487407,0.9880507499505832,0.9836300070374547,1.1554103681304746,506,,North America,1.155,0.979,8.05,0.0004103681304745699
9585,0.9749720333762792,0.9819970926830438,0.9853888051092918,0.9905762308325751,1.154645579251389,2161,Garda,Europe,1.155,0.964,6.06,0.00035442074861102846
18735,0.9608584479163412,0.9874583732799942,0.963685755409987,1.0074862766840746,1.15991095063892,1440,Lake Moultrie,North America,1.16,0.974,7.22,8.904936107989592e-05
18231,0.9727265735951817,0.9877679502987922,0.9770373030786336,1.0081811550568176,1.1828908492572718,1525,Lake Marion,North America,1.183,0.975,7.51,0.00010915074272821457
197,0.9196178786257021,0.9667037287465259,0.9287436371553895,0.9834116151658862,1.1829945853947623,2478,Los Barreales,South America,1.183,0.93,4.47,5.414605237730186e-06
15687,0.9880532879693552,0.9906683371539171,0.9928384896321841,1.0020872867847648,1.191946136320296,1439,Robert S. Kerr Reservoir,North America,1.192,0.981,8.74,5.386367970405814e-05
17322,0.9781580500264959,0.9781760273127341,0.9994691024563915,1.0007093254462656,1.1953930349431399,2577,Tahoe,North America,1.195,0.956,5.72,0.0003930349431398028
2071,0.9832370263111642,0.9882205391036127,0.9950323730533874,0.9891572941383446,1.1995354395697115,951,Rossignol,North America,1.2,0.976,7.77,0.00046456043028841876
13364,0.9511479408696014,0.9517109248877451,1.0044337159290735,0.9940812949775105,1.2002431219528678,1469,Jebel Aulia Reservoir,Africa,1.2,0.902,3.83,0.00024312195286779748
23410,0.9829718960209942,0.9886056439264486,0.9874327765764032,0.9985201789938134,1.201931135865072,1672,Kiev Reservoir,Europe,1.202,0.977,7.98,6.886413492801502e-05
188,0.930344824963911,0.9775106900559081,0.934208541760748,0.9958097290899615,1.22583011580057,1374,Hondo,South America,1.226,0.953,5.68,0.00016988419942998156
9530,0.9238811889789041,0.9864436506868552,0.9250981238388108,1.0000879323557528,1.2473231067223025,1783,Habbaniyah,Asia,1.247,0.969,7.12,0.000323106722302402
23529,0.9188566467251897,0.9699600670419152,0.9246890156814376,0.9968216593128377,1.2518616215778438,1669,Beas,Asia,1.252,0.939,5.05,0.00013837842215624896
20760,0.960778896665363,0.9814758414210573,0.9659818330654668,1.0061575006409005,1.2542933625766537,2728,Salton,North America,1.254,0.963,6.48,0.0002933625766536885
